section,qid,audience,type,title,options,required,logic
"Intro & Consent","Q1","All","multiple_choice","I consent to participate in this anonymous survey.","I consent|I do not consent","Yes","If 'I do not consent' → End"
"Screening & Demographics","Q2","All","multiple_choice","Your role","Business owner/manager|End-use customer","Yes","Route: Business → Section 2A; Customer → Section 2B"
"Screening & Demographics","Q3","All","multiple_choice","Gender","Female|Male|Prefer to self-describe|Prefer not to say","No","If 'Prefer to self-describe' → short answer"
"Screening & Demographics","Q4","All","multiple_choice","Age","18–24|25–34|35–44|45–55|56+","Yes",""
"Screening & Demographics","Q5","All","multiple_choice","Willing to be contacted for a short follow-up interview?","Yes (email below)|No","No","If 'Yes' → short answer email (optional)"
"Section 2A — Business","Q6_BIZ","Business","multiple_choice","Company size (employees)","1|2–5|6–10|11–25|26–50|51+","Yes",""
"Section 2A — Business","Q7_BIZ","Business","multiple_choice","Annual revenue (USD)","<100K|100K–249K|250K–499K|500K–999K|1M–2M|>2M|Prefer not to say","Yes",""
"Section 2A — Business","Q8_BIZ","Business","multiple_choice","Weekly platforms used for operations","1–2|3–4|5–6|7–8|9+","Yes",""
"Section 2A — Business","Q9_BIZ","Business","multiple_choice","Monthly software spend (USD)","<250|250–499|500–999|1,000–1,999|2,000–2,999|3,000+","Yes",""
"Section 2A — Business","Q10_BIZ","Business","multiple_choice","Daily time switching between systems","<1 hour|1–2 hours|2–3 hours|3–4 hours|>4 hours","Yes",""
"Section 2A — Business","Q11_BIZ","Business","linear_scale_1_5","Satisfaction with current tools’ UI/UX","1=Very dissatisfied|5=Very satisfied","Yes",""
"Section 2A — Business","Q12_BIZ","Business","grid_likert_1_5","Interest in potential features","rows: AI dermatology consultation; AI product recommendations; Live streaming commerce; Unified analytics dashboard; Customer segmentation; Data migration tools | scale: 1=Not interested;2;3;4;5=Very interested","Yes",""
"Section 2A — Business","Q13_BIZ","Business","multiple_choice","Willingness to pay premium for clinical-grade guidance","Yes|No|Depends on value and pricing","Yes",""
"Section 2A — Business","Q14_BIZ","Business","linear_scale_1_5","Likelihood to migrate to an integrated alternative consolidating 5+ systems","1=Very unlikely|5=Very likely","Yes",""
"Section 2A — Business","Q15_BIZ","Business","grid_likert_1_5","Barriers to adopting a new platform","rows: Setup complexity/training; Data migration difficulty; Security/compliance concerns; Staff resistance to change; Lack of native live streaming; Platform fragmentation | scale: 1=Not a barrier;2;3;4;5=Major barrier","Yes",""
"Section 2B — Customers","Q6_CUST","Customer","multiple_choice","Purchase frequency (skincare/cosmetics)","Weekly|2–3 times per month|Monthly|Every 2–3 months|Less often","Yes",""
"Section 2B — Customers","Q7_CUST","Customer","multiple_choice","Monthly spend on skincare/cosmetics (USD)","<25|25–49|50–99|100–199|200+","Yes",""
"Section 2B — Customers","Q8_CUST","Customer","checkboxes","Where do you usually buy?","Brand websites|Marketplaces (e.g., Amazon)|Specialty retailers|Social/live shopping|In-store|Other","Yes",""
"Section 2B — Customers","Q9_CUST","Customer","multiple_choice","Your skin type","Normal|Oily|Dry|Combination|Sensitive|Not sure|Prefer not to say","No",""
"Section 2B — Customers","Q10_CUST","Customer","checkboxes_max_3","Main skin concerns (select up to 3)","Acne|Sensitivity|Aging/fine lines|Hyperpigmentation|Dryness|Redness/rosacea|Pores/texture|Other","No","Limit selections to 3"
"Section 2B — Customers","Q11_CUST","Customer","linear_scale_1_5","Satisfaction with current personalization","1=Very dissatisfied|5=Very satisfied","Yes",""
"Section 2B — Customers","Q12_CUST","Customer","linear_scale_1_5","Trust in AI-based dermatology guidance","1=Do not trust at all|5=Trust completely","Yes",""
"Section 2B — Customers","Q13_CUST","Customer","linear_scale_1_5","Interest in live shopping with experts","1=Not interested|5=Very interested","Yes",""
"Section 2B — Customers","Q14_CUST","Customer","multiple_choice","Willingness to share skin profile for better recommendations","Yes|No|Maybe","Yes",""
"Section 2B — Customers","Q15_CUST","Customer","paragraph","Biggest frustration when shopping for skincare/cosmetics","","No",""



